Column1,exercise_name,norm
828,High Incline DB Press,high incline db press
687,Lat Pullover,lat pullover
1367,Lying Sit Up,lying sit up
736,Lateral Banded Walk,lateral banded walk
908,Shoulder Complex (Dumbbell),shoulder complex
312,Overhead Extension (EZ Bar),overhead extension
1121,One Arm  Pullup Test,one arm pullup test
1417,Rest Pause - Hamstring Isolation (Placeholder),rest pause hamstring isolation
1531,Lat Machine,lat machine
1402,Pronation,pronation
1459,Forward Sled,forward sled
1228,"Pull Down (12,10,8,6,4)",pull down
200,Modified Dragon Fly,modified dragon fly
1283,Leg Swings,leg swings
1255,Hack Deadlift,hack deadlift
171,Inchworm Walkout,inchworm walkout
425,Lying Face Pull (Rope),lying face pull
1649,Doorway Stretch,doorway stretch
377,Flat Dumbbell Press,flat dumbbell press
1521,Leg Pres (Low Pad),leg pres
1763,Smith Good Morning,smith good morning
910,Standing wall angel,standing wall angel
53,Skull Crusher,skull crusher
590,Ruck March,ruck march
1427,Rest Pause - Quad Isolation (Placeholder),rest pause quad isolation
430,Arms-Extended 45° Hyperextension,arms extended 45 hyperextension
805,Seated French Press (Dumbbell),seated french press
433,Reverse Flye (Cable),reverse flye
1785,Cable Reverse Flye,cable reverse flye
